City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
444,Fortuna,US,60.01,['clear sky'],40.6,-124.16,Super 8 By Wyndham Fortuna
447,Mount Gambier,AU,57.2,['overcast clouds'],-37.83,140.77,Best Western Southgate Motel
450,Ulladulla,AU,66.0,['overcast clouds'],-35.35,150.47,Sandpiper Motel
455,Rafai,CF,71.01,['overcast clouds'],4.95,23.92,
456,Lumphat,KH,71.91,['clear sky'],13.49,106.98,Lumphat Homestay
457,Osorno,CL,60.75,['broken clouds'],-40.57,-73.15,Sonesta Hotel Osorno
461,Ellensburg,US,66.2,['clear sky'],47.0,-120.55,Holiday Inn Express Ellensburg
462,Hirara,JP,69.8,['scattered clouds'],24.8,125.28,Hotel Atoll Emerald Miyakojima
464,Beloha,MG,69.75,['broken clouds'],-25.17,45.05,
465,Guerrero Negro,MX,63.27,['overcast clouds'],27.98,-114.06,"Casa Laguna, Bed & Breakfast"
466,Nakonde,ZM,61.65,['scattered clouds'],-9.34,32.74,Masahani Inn Hotel
470,Le Port,RE,71.6,['few clouds'],-20.94,55.29,Villa Maido
473,Laguna,US,66.99,['broken clouds'],38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
474,Namibe,AO,73.53,['scattered clouds'],-15.2,12.15,Chik-Chik Namibe
481,Kindu,CD,72.45,['overcast clouds'],-2.95,25.95,Hotel Karibu
482,Vila,PT,57.0,"['light intensity drizzle', 'mist']",42.03,-8.16,Hotel Castrum Villae
485,Can Tho,VN,73.4,['few clouds'],10.03,105.78,Kim Lan Hotel Can Tho
487,Itarema,BR,75.87,['overcast clouds'],-2.92,-39.92,Windvillage
489,Oussouye,SN,73.4,['broken clouds'],12.48,-16.55,Auberge du Routard
490,Yulara,AU,75.2,['clear sky'],-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
491,Gobabis,,68.0,['broken clouds'],-22.45,18.97,Goba Lodge
492,Ormara,PK,74.43,['few clouds'],25.21,64.64,
494,Kaputa,ZM,63.63,['overcast clouds'],-8.47,29.66,Chelelwa Charlets
495,Abha,SA,60.8,['scattered clouds'],18.22,42.51,Abha Hotel
497,Nova Olinda Do Norte,BR,76.05,['broken clouds'],-3.89,-59.09,Nova Olinda Palace Hotel
498,Kawalu,ID,72.99,['overcast clouds'],-7.38,108.21,KOSAN UNGU UNSIK
499,Moree,AU,73.4,['few clouds'],-29.47,149.85,Molika Springs Motel
501,Wattegama,LK,69.03,['overcast clouds'],6.8,81.48,
502,Quatre Cocos,MU,73.0,['few clouds'],-20.21,57.76,Emeraude Beach Attitude Hotel
504,Iguatemi,BR,67.95,['clear sky'],-23.68,-54.56,Hotel Seriema
506,Sao Mateus Do Sul,BR,61.83,['clear sky'],-25.87,-50.38,Hotel Dom Leopoldo
508,Kiama,AU,70.0,['overcast clouds'],-34.68,150.87,The Sebel Kiama Harbourside
511,Sechura,PE,74.97,['clear sky'],-5.56,-80.82,Hospedaje Costa Bella
514,Tezu,IN,60.39,['broken clouds'],27.92,96.17,Circuit House
517,Kasongo-Lunda,CD,67.41,['overcast clouds'],-6.47,16.82,
518,Binzhou,CN,60.01,['scattered clouds'],37.37,118.02,Hampton By Hilton Binzhou
524,Phan Thiet,VN,73.71,['scattered clouds'],10.93,108.1,Hotel Saigon-PT
525,Adwa,ET,57.87,['clear sky'],14.16,38.9,Maay Assa Hotel
526,Pamplona,ES,61.0,['few clouds'],42.82,-1.64,Hotel Albret
528,Sadat,IN,70.11,['overcast clouds'],25.68,83.28,HARIOM computer
530,Nguruka,TZ,64.71,['few clouds'],-5.11,31.04,
533,Quito,EC,64.4,['broken clouds'],-0.23,-78.52,Hotel Boutique Plaza Sucre
535,Tougue,GN,76.05,['broken clouds'],11.47,-11.6,
538,Calbuco,CL,64.4,['broken clouds'],-41.77,-73.13,Hotel Colonial
541,Inhambane,MZ,75.15,['clear sky'],-23.86,35.38,MHL Turismo SA
542,Launceston,AU,62.01,['scattered clouds'],-41.45,147.17,Hotel Grand Chancellor Launceston
545,Warmbad,,66.33,['broken clouds'],-28.45,18.73,
546,Galveston,US,72.0,['light rain'],29.37,-94.97,Comfort Inn & Suites Texas City
550,Kinshasa,CD,73.4,['few clouds'],-4.32,15.32,Kabinda Center
551,Pringsewu,ID,72.63,['overcast clouds'],-5.36,104.97,Urban Style by Front One
