City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Marfino,RU,2020-03-18 10:48:19,55.7,37.38,48.2,52,40,17.9
187,Tshikapa,CD,2020-03-18 10:48:19,-6.42,20.8,83.93,75,69,2.73
188,Kalmar,SE,2020-03-18 10:46:34,56.66,16.36,51.8,71,75,19.46
189,Svetlyy,RU,2020-03-18 10:48:19,54.67,20.13,57.2,54,20,20.13
190,Borskoye,RU,2020-03-18 10:48:19,53.03,51.72,44.69,65,0,8.99
191,Kibala,TD,2020-03-18 10:48:20,9.11,18.35,102.2,10,94,10.29
192,Bethel,US,2020-03-18 10:45:04,41.37,-73.41,39.0,92,1,2.55
193,Udimskiy,RU,2020-03-18 10:48:20,61.14,45.91,35.87,87,98,13.44
194,Hasaki,JP,2020-03-18 10:45:19,35.73,140.83,53.01,76,20,4.7
195,Ratlam,IN,2020-03-18 10:48:20,23.32,75.07,94.55,12,0,12.08
196,Richards Bay,ZA,2020-03-18 10:48:20,-28.78,32.04,79.07,69,0,19.37
197,Tiznit,MA,2020-03-18 10:48:20,29.58,-9.5,53.33,50,89,8.66
198,Bengkulu,ID,2020-03-18 10:48:20,-3.8,102.27,74.75,95,100,3.85
199,Port Augusta,AU,2020-03-18 10:48:21,-32.5,137.77,89.6,21,0,8.05
200,Cartagena Del Chaira,CO,2020-03-18 10:48:21,1.33,-74.84,72.77,97,100,2.21
201,Funtua,NG,2020-03-18 10:48:21,11.52,7.31,97.07,4,41,11.79
202,Praia Da Vitoria,PT,2020-03-18 10:48:21,38.73,-27.07,64.4,77,20,15.43
203,Tuy Hoa,VN,2020-03-18 10:48:21,13.08,109.3,78.89,83,33,7.18
204,Hami,CN,2020-03-18 10:48:21,42.8,93.45,55.85,18,23,7.11
205,Tocopilla,CL,2020-03-18 10:48:21,-22.09,-70.2,61.43,71,18,2.33
206,Rundu,NA,2020-03-18 10:48:21,-17.93,19.77,77.0,61,40,4.7
207,Ouegoa,NC,2020-03-18 10:48:22,-20.35,164.43,70.25,90,4,4.94
208,Parabel,RU,2020-03-18 10:48:22,58.7,81.48,28.49,86,100,12.33
209,Plettenberg Bay,ZA,2020-03-18 10:48:22,-34.05,23.37,72.77,68,1,11.88
210,Karratha,AU,2020-03-18 10:48:22,-20.74,116.85,87.17,71,0,11.77
211,Narok,KE,2020-03-18 10:48:22,-1.08,35.86,72.95,53,100,12.01
212,Monze,ZM,2020-03-18 10:48:22,-16.28,27.48,73.85,66,91,8.84
213,Takoradi,GH,2020-03-18 10:48:22,4.88,-1.76,89.69,61,100,9.8
214,Byron Bay,AU,2020-03-18 10:45:44,-28.65,153.62,70.0,72,40,4.7
215,Somerset West,ZA,2020-03-18 10:48:22,-34.08,18.82,77.0,60,20,17.22
216,Langsa,ID,2020-03-18 10:48:23,4.47,97.97,78.71,72,77,4.56
217,Homer,US,2020-03-18 10:44:02,59.64,-151.55,35.01,86,75,4.7
218,Poso,ID,2020-03-18 10:48:23,-1.4,120.75,68.27,90,92,1.72
219,Lorengau,PG,2020-03-18 10:48:23,-2.02,147.27,81.77,76,100,8.23
220,Muros,ES,2020-03-18 10:48:23,42.78,-9.06,72.0,67,0,3.36
221,Nuuk,GL,2020-03-18 10:48:23,64.18,-51.72,24.8,73,100,23.04
222,Manadhoo,MV,2020-03-18 10:48:23,5.77,73.38,83.93,77,79,14.92
223,Batemans Bay,AU,2020-03-18 10:48:23,-35.72,150.18,66.0,75,19,4.63
224,Paita,PE,2020-03-18 10:48:24,-5.09,-81.11,77.45,75,96,2.19
225,Kogon,UZ,2020-03-18 10:48:24,39.72,64.55,78.8,27,0,9.17
226,Itarema,BR,2020-03-18 10:48:24,-2.92,-39.92,83.57,76,3,5.82
227,Sambava,MG,2020-03-18 10:48:24,-14.27,50.17,84.11,80,43,4.03
228,Inuvik,CA,2020-03-18 10:48:24,68.35,-133.72,17.6,72,40,9.17
229,Mae Sai,TH,2020-03-18 10:48:24,20.43,99.88,96.8,26,0,5.82
230,Hamilton,US,2020-03-18 10:45:08,39.18,-84.53,39.99,86,40,3.36
231,Tiksi,RU,2020-03-18 10:48:24,71.69,128.87,-28.75,86,0,9.06
232,Victoria,HK,2020-03-18 10:48:07,22.29,114.16,72.0,83,20,8.05
233,Gushikawa,JP,2020-03-18 10:48:25,26.35,127.87,71.6,73,90,11.41
234,Saldanha,ZA,2020-03-18 10:48:25,-33.01,17.94,75.2,57,8,3.36
235,Mecca,SA,2020-03-18 10:45:53,21.43,39.83,87.89,15,0,12.77
236,Rafsanjan,IR,2020-03-18 10:48:25,30.41,55.99,73.31,13,50,15.93
237,Ontario,US,2020-03-18 10:48:25,34.06,-117.65,48.2,75,1,4.7
238,Atuona,PF,2020-03-18 10:48:25,-9.8,-139.03,81.77,80,100,11.25
239,Mazagao,BR,2020-03-18 10:48:25,-0.12,-51.29,77.0,100,90,3.36
240,Ixtapa,MX,2020-03-18 10:48:25,20.7,-105.2,72.0,88,5,3.56
241,Arica,CL,2020-03-18 10:48:26,-18.48,-70.3,73.4,64,90,2.24
242,Waipawa,NZ,2020-03-18 10:48:26,-41.41,175.52,57.2,76,1,16.11
243,Liaqatabad,PK,2020-03-18 10:48:26,31.56,74.3,84.2,37,40,4.7
244,Nortelandia,BR,2020-03-18 10:48:26,-14.45,-56.8,76.73,88,70,3.74
245,Kalabo,ZM,2020-03-18 10:48:26,-14.97,22.68,74.93,76,100,6.91
246,Rapina,EE,2020-03-18 10:48:26,58.1,27.46,44.6,75,75,15.66
247,Bowen,AU,2020-03-18 10:48:26,-20.02,148.23,75.99,73,90,10.29
248,Ahuimanu,US,2020-03-18 10:48:26,21.44,-157.84,75.2,83,90,6.93
249,Dingle,PH,2020-03-18 10:48:27,11.0,122.67,75.65,79,68,8.34
250,Salalah,OM,2020-03-18 10:48:27,17.02,54.09,80.6,61,75,13.87
251,Ust-Charyshskaya Pristan,RU,2020-03-18 10:48:27,52.39,83.66,31.19,86,40,17.36
252,Marawi,PH,2020-03-18 10:48:27,8.0,124.29,81.0,79,58,5.01
253,Sirjan,IR,2020-03-18 10:48:27,29.45,55.68,69.17,14,87,14.92
254,Kedrovyy,RU,2020-03-18 10:48:27,56.17,91.82,35.6,47,35,22.37
255,Chauk,MM,2020-03-18 10:48:27,20.88,94.82,86.63,21,0,4.0
256,Matagami,CA,2020-03-18 10:48:27,49.75,-77.63,-13.0,83,1,6.24
257,Daru,PG,2020-03-18 10:48:27,-9.08,143.21,76.91,88,29,4.03
